,えび,かに,小麦,そば,卵,乳,落花生,くるみ,"アーモンド",あわび,いか,いくら,オレンジ,"カシューナッツ","キウイフルーツ",牛肉,ごま,さけ,さば,大豆,鶏肉,バナナ,豚肉,まつたけ,もも,やまいも,りんご,ゼラチン,魚介類,熱量(kcal),たんぱく質(g),脂質(g),炭水化物(g),"糖質(g)","食物繊維(g)",食塩相当量(g)
フレンチフライ チリ＆チーズ,▲,,△,,△,○,▲,,,,,,▲,,,○,▲,,,○,▲,,▲,,▲,,▲,▲,,346,7.4,17.8,40.4,36.8,3.6,2.3
シェアボックス(A) （ﾎｰﾑｽﾀｲﾙﾁｷﾝ2枚・ﾁｷﾅｹﾞｯﾄ5個・ﾌﾚﾝﾁﾌﾗｲﾎﾟﾃﾄL1個）,▲,,○,,○,○,▲,,,,,,▲,,,▲,▲,,,○,○,,▲,,▲,,▲,▲,,"1,694",62.3,107.1,82.9,77.2,5.7,7.3
シェアボックス(B) （ホームスタイルチキン2枚・フレンチフライ箱ポテ!1個）,▲,,○,,▲,○,▲,,,,,,▲,,,▲,▲,,,○,○,,▲,,▲,,▲,▲,,"1,771",54.8,101.1,127.1,117.9,9.2,8.0
※上記シェアボックスについては各種ポテトフレーバー及び各種添付ソースのアレルギーは含まれません。これらの情報は【ポテトメニュー】【サイドメニュー】をご確認ください。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
デザート,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ソフトクリーム入りキャラメルかき氷  マンゴー,▲,,▲,,▲,○,▲,,,,,,○,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,230,3.4,6.2,41.5,41.1,0.4,0.3
ソフトクリーム入りキャラメルかき氷  天空の抹茶Ⓡ,▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,196,4.1,6.3,31.8,30.5,1.3,0.3
ソフトクリーム入りキャラメルかき氷  コーヒー,▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,192,3.5,6.2,31.0,30.9,0.1,0.4
ソフトクリーム入りかき氷〔いちご〕,▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,194,2.8,5.3,35.2,35.1,0.1,0.3
ソフトクリーム入りかき氷〔ブルーハワイ〕,▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,194,2.8,5.3,35.2,35.1,0.1,0.3
白玉クリームぜんざい,▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,○,▲,,▲,,▲,,▲,▲,,291,6.3,6.9,51.2,49.1,2.1,0.3
まぜまぜシェイク  天空の抹茶Ⓡあずき,▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,298,7.3,10.2,44.5,42.2,2.3,0.4
まぜまぜシェイク  強焙煎ほうじ茶あずき,▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,298,7.2,10.2,44.8,42.2,2.6,0.4
ポッフェルチェ（ミニパンケーキ）７個,▲,,○,△,○,○,▲,,,,,,▲,,,▲,▲,,,○,▲,△,▲,,▲,,△,▲,,261,4.3,15.8,25.5,24.8,0.7,0.9
ポッフェルチェ（ミニパンケーキ）28個,▲,,○,△,○,○,▲,,,,,,▲,,,▲,▲,,,○,▲,△,▲,,▲,,△,▲,,976,17.1,56.6,99.8,97.0,2.8,2.9
ホットドリンク  （店舗によりマグカップを使用しています）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ホットコーヒー（S),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,8,0.4,0.0,1.3,—,ー,0.0
ホットコーヒー（M),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,10,0.5,0.0,1.6,—,ー,0.0
カフェラテ（S),▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,59,3.1,3.1,4.5,—,ー,0.1
カフェラテ（M),▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,78,4.1,4.1,6.0,—,ー,0.2
天空の抹茶Ⓡ  大人ラテ,▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,88,4.9,4.6,6.8,6.0,0.8,0.2
強焙煎ほうじ茶  大人ラテ,▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,88,4.8,4.6,7.0,6.0,1.0,0.2
天空の抹茶Ⓡ,▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,4,0.3,0.1,0.4,0.0,0.4,0.0
強焙煎ほうじ茶,▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,4,0.3,0.1,0.5,0.0,0.5,0.0
ダージリンティー,▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,0,0.0,0.0,0.0,0.0,0.0,0.0
ホットピーチティー,▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,○,,▲,▲,,31,0.2,0.0,8.0,—,ー,0.0
コールドドリンク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイスコーヒー（S),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,7,0.3,0.0,1.1,—,ー,0.0
アイスコーヒー（M),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,12,0.6,0.0,2.0,—,ー,0.0
アイスコーヒー（L),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,14,0.7,0.0,2.5,—,ー,0.0
アイスカフェラテ（S),▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,49,2.6,2.6,3.8,—,ー,0.1
アイスカフェラテ（M),▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,90,4.8,4.8,7.0,—,ー,0.2
アイスカフェラテ（L),▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,122,6.5,6.5,9.3,—,ー,0.2
アイスティー,▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,10,0.2,0.0,2.3,2.3,0.0,0.1
アイスピーチティー,▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,○,,▲,▲,,46,0.2,0.0,12.0,—,—,0.0
天空の抹茶Ⓡ  大人ラテ（S),▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,88,4.9,4.6,6.8,6.0,0.8,0.2
天空の抹茶Ⓡ  大人ラテ（M),▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,156,8.8,8.1,12.3,10.7,1.6,0.3
強焙煎ほうじ茶  大人ラテ（S),▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,88,4.8,4.6,7.0,6.0,1.0,0.2
強焙煎ほうじ茶  大人ラテ（M),▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,156,8.6,8.1,12.6,10.7,1.9,0.3
天空の抹茶Ⓡ  （S),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,5,0.4,0.1,0.5,0.0,0.5,0.0
天空の抹茶Ⓡ  （M),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,7,0.6,0.1,0.8,0.0,0.8,0.0
強焙煎ほうじ茶  （S),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,5,0.3,0.1,0.6,0.0,0.6,0.0
強焙煎ほうじ茶  （M),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,7,0.5,0.1,1.0,0.0,1.0,0.0
ペプシコーラ （S),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,69,0.0,0.0,17.0,17.0,0.0,0.1
ペプシコーラ （M),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,109,0.0,0.0,27.2,27.2,0.0,0.1
ペプシコーラ（L),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,205,0.0,0.0,51.0,51.0,0.0,0.1
メロンソーダ（S),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,69,0.0,0.0,17.1,17.1,0.0,0.1
メロンソーダ（M),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,110,0.0,0.0,27.4,27.4,0.0,0.1
メロンソーダ（L),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,206,0.0,0.0,51.3,51.3,0.0,0.1
セブンアップ（S),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,114,0.0,0.0,28.5,28.5,0.0,0.1
セブンアップ（M),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,182,0.0,0.0,45.5,45.5,0.0,0.2
セブンアップ（L),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,231,0.0,0.0,57.8,57.8,0.0,0.2
レモネード（S),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,73,0.2,0.0,18.3,18.3,0.0,0.1
レモネード（M),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,122,0.2,0.0,30.5,30.5,0.0,0.1
レモネード（L),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,219,0.4,0.0,54.9,54.9,0.0,0.2
ウーロン茶 （S),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,2,0.0,0.0,0.4,0.4,0.0,0.1
ウーロン茶 （M),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,3,0.0,0.0,0.5,0.5,0.0,0.1
100％アップルジュース（S),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,○,▲,,113,0.4,0.0,27.9,27.9,0.0,0.1
100％アップルジュース（M),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,○,▲,,181,0.7,0.0,44.5,44.5,0.0,0.1
ジュエルタピオカ  ※店舗により使用している食材が異なります,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
烏龍ミルクティータピオカ  マンゴー,▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,239,1.2,1.5,56.0,55.7,0.3,0.1
烏龍ミルクティータピオカ  ストロベリー,▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,226,1.5,1.5,53.2,52.7,0.5,0.1
烏龍ミルクティータピオカ  白桃,▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,○,,▲,▲,,183,1.2,1.3,42.1,41.7,0.4,0.1
ジュエルタピオカ天空の抹茶Ⓡ黒糖ラテ,▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,352,1.9,13.2,57.7,56.5,1.2,0.5
ジュエルタピオカ強焙煎ほうじ茶黒糖ラテ,▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,355,1.7,13.2,57.9,56.5,1.4,0.5
ジュエルタピオカ黒糖ラ,▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,345,1.0,13.1,56.5,56.5,0.0,0.5
スパークリングタピオカ  マンゴー,▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,323,0.3,0.5,80.4,80.1,0.3,0.1
スパークリングタピオカ  ストロベリー,▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,310,0.5,0.5,77.6,77.1,0.5,0.1
スパークリングタピオカ  白桃,▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,○,,▲,▲,,267,0.3,0.3,66.6,66.2,0.4,0.1
ミルクタピオカ  マンゴー,▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,349,7.2,7.6,64.0,63.7,0.3,0.3
ミルクタピオカ  ストロベリー,▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,336,7.4,7.6,61.2,60.7,0.5,0.3
ミルクタピオカ  白桃,▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,○,,▲,▲,,293,7.2,7.4,50.1,49.7,0.4,0.3
フロート,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
クリームソーダ,▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,230,2.8,5.3,42.7,42.6,0.1,0.2
コーラフロート,▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,229,2.8,5.3,42.4,42.3,0.1,0.2
コーヒーフロート,▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,129,2.9,5.3,17.6,17.3,0.3,0.2
天空の抹茶Ⓡフロート,▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,133,3.3,5.4,18.0,17.3,0.7,0.2
強焙煎ほうじ茶フロート,▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,133,3.2,5.4,18.1,17.3,0.8,0.2
ピーチティーフロート,▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,○,,▲,▲,,225,2.9,5.3,42.8,42.7,0.1,0.4
アルコール・クラフトビール ★,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
スプリングバレー  豊潤＜４９６＞,▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,,,,,,,
スプリングバレー  シルクエール＜白＞,▲,,○,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,,,,,,,
ブルックリンラガー,▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,,,,,,,
アフターダーク,▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,,,,,,,
コンディメント,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コーヒーフレッシュ  (植物性油脂),,,,,,○,,,,,,,,,,,,,,○,,,,,,,,,,10,0.2,1.0,0.1,0.1,0.0,0.0
ガムシロップ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,0.0,0.0,8.4,—,ー,0.0
シュガー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.0,0.0,3.0,—,ー,0.0
ポーションレモン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.3,—,ー,0.0
パルメザンチーズ （100gあたり）,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,501,43.3,34.9,3.4,3.4,0.0,3.1
ハバネロソース（中辛）(100gあたり）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,0.6,0.5,5.4,4.1,1.3,6.6
ケチャップ  （100gあたり）,▲,,▲,,▲,▲,▲,,,,,,,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,94,1.5,0.2,21.5,19.9,1.6,2.9
店舗限定（各種コラボ実施店・イベント実施店）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
かき氷〔いちご〕,▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,110,0.0,0.0,29.7,29.7,0.0,0.1
かき氷〔いちご〕（大）,▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,175,0.0,0.0,47.5,47.5,0.0,0.1
かき氷〔ブルーハワイ〕,▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,110,0.0,0.0,29.7,29.7,0.0,0.1
かき氷〔ブルーハワイ〕（大）,▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,175,0.0,0.0,47.5,47.5,0.0,0.1
フランクフルト,▲,,▲,,▲,○,▲,,,,,,▲,,,○,▲,,,○,○,,○,,▲,,▲,▲,,271,9.9,24.2,2.4,—,ー,1.5
から揚げ5個,▲,,○,,○,○,▲,,,,,,▲,,,▲,▲,,,○,○,,▲,,▲,,▲,▲,,558,16.1,46.4,17.5,16.7,0.9,2.1
厚切りハムカツ,▲,,○,,○,○,▲,,,,,,▲,,,▲,▲,,,○,▲,,○,,▲,,▲,○,,302,7.4,22.3,17.2,16.9,0.3,1.2
ラウンドハッシュポテト （5個）,▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,○,▲,,▲,,▲,,▲,▲,,458,2.1,38.7,24.1,21.9,2.2,1.3
ソフトクリーム(カップ）,▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,○,▲,,▲,,▲,,▲,▲,,160,3.5,6.6,21.7,21.6,0.1,0.2